SampName,SampNo,MeasNo,MeasDate,ListDate,Filename,S-DOB,S-Remark,Meas-Rmk,Site,Energy-I-Code,Integr.Time,ControlfileNo,Ctrlf-Name,Sigma,Support,Threshold,Unit,Data-Threshold,S,F.ult,(Tb.F/TF)dist,(Tb.F/TF)prox,E.app,Tb.VM,C.VM,TB.ES,C.ES,Problem_nr,El-Siz-X,El-Siz-Y,El-Siz-Z,Dim-X,Dim-Y,Dim-Z,Pos-X,Pos-Y,Pos-Z,MeasNumSlices,OperatorMeas,OperatorEval,CTDI[mGy],RAW-Dir,RAW-Label,IMA-Dir,IMA-Label,ScannerID
pilot 1367_femurspine,10780,31716,8/29/2024 13:22,9/23/2024 13:53,V0031547,,,,Custom,E2_Imax,300,B31716,Spine ex-vivo,0.8,1,200,6,6553,17811.5,-53.5185,1,1,6606.9043,91.931,0,0.0137,0,33,0.0105,0.0105,0.0105,240,157,49,835,873,131,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010780.00031716],,DK0:[MICROCT.DATA.00010780.00031716],,5071
pilot 1368_femurspine,10781,31719,9/3/2024 7:12,9/23/2024 13:54,V0031550,,,,Custom,E2_Imax,300,B31719,Spine ex-vivo,0.8,1,200,6,6553,19239.1,-57.3774,1,1,6583.7197,91.2284,0,0.0139,0,33,0.0105,0.0105,0.0105,189,208,49,839,971,131,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010781.00031719],,DK0:[MICROCT.DATA.00010781.00031719],,5071
pilot 1370_femurspine,10783,31725,9/3/2024 9:48,9/23/2024 13:59,V0031556,,,,Custom,E2_Imax,300,B31725,Spine ex-vivo,0.8,1,200,6,6553,21536.9,-63.8411,1,1,4546.9473,83.5478,0,0.0126,0,33,0.0105,0.0105,0.0105,173,260,49,969,935,121,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010783.00031725],,DK0:[MICROCT.DATA.00010783.00031725],,5071
pilot 1369_femurspine,10782,31722,9/3/2024 8:33,9/23/2024 13:59,V0031553,,,,Custom,E2_Imax,300,B31722,Spine ex-vivo,0.8,1,200,6,6553,21953,-64.8144,1,1,4641.5142,85.0241,0,0.0132,0,33,0.0105,0.0105,0.0105,268,154,49,764,939,111,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010782.00031722],,DK0:[MICROCT.DATA.00010782.00031722],,5071
pilot 1372_femurspine,10785,31731,9/3/2024 11:59,9/23/2024 14:03,V0031562,,,,Custom,E2_Imax,300,B31731,Spine ex-vivo,0.8,1,200,6,6553,19764.1,-59.3377,1,1,7108.5156,92.2567,0,0.0136,0,33,0.0105,0.0105,0.0105,231,166,49,771,947,131,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010785.00031731],,DK0:[MICROCT.DATA.00010785.00031731],,5071
pilot 1371_femurspine,10784,31728,9/3/2024 10:53,9/23/2024 14:06,V0031559,,,,Custom,E2_Imax,300,B31728,Spine ex-vivo,0.8,1,200,6,6553,19666.8,-59.2424,1,1,6612.231,91.1572,0,0.0137,0,33,0.0105,0.0105,0.0105,159,217,49,774,947,131,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010784.00031728],,DK0:[MICROCT.DATA.00010784.00031728],,5071
pilot 1373_femurspine,10786,31734,9/3/2024 13:15,9/23/2024 14:07,V0031565,,,,Custom,E2_Imax,300,B31734,Spine ex-vivo,0.8,1,200,6,6553,17651.2,-51.092,1,1,5273.6831,87.9125,0,0.0133,0,33,0.0105,0.0105,0.0105,215,181,49,791,1034,91,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010786.00031734],,DK0:[MICROCT.DATA.00010786.00031734],,5071
pilot 1367_femurspine,10780,31718,8/29/2024 13:59,9/23/2024 14:08,V0031549,,,,Custom,E2_Imax,300,B31718,Spine ex-vivo,0.8,1,200,6,6553,21573.7,-66.4246,1,1,9285.7178,95.0225,0,0.0135,0,33,0.0105,0.0105,0.0105,188,139,48,814,906,3,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010780.00031718],,DK0:[MICROCT.DATA.00010780.00031718],,5071
pilot 1368_femurspine,10781,31721,9/3/2024 7:49,9/23/2024 14:09,V0031552,,,,Custom,E2_Imax,300,B31721,Spine ex-vivo,0.8,1,200,6,6553,22182.5,-67.9827,1,1,9110.6973,94.5473,0,0.0135,0,33,0.0105,0.0105,0.0105,138,183,48,873,920,3,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010781.00031721],,DK0:[MICROCT.DATA.00010781.00031721],,5071
pilot 1369_femurspine,10782,31724,9/3/2024 9:10,9/23/2024 14:11,V0031555,,,,Custom,E2_Imax,300,B31724,Spine ex-vivo,0.8,1,200,6,6553,23731.1,-72.5613,1,1,9424.668,94.8762,0,0.0134,0,33,0.0105,0.0105,0.0105,194,148,48,747,929,3,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010782.00031724],,DK0:[MICROCT.DATA.00010782.00031724],,5071
