SampName,SampNo,MeasNo,MeasDate,ListDate,Filename,S-DOB,S-Remark,Meas-Rmk,Site,Energy-I-Code,Integr.Time,ControlfileNo,Ctrlf-Name,Sigma,Support,Threshold,Unit,Data-Threshold,VOX-TV,VOX-BV,VOX-BV/TV,Conn-Dens.,TRI-SMI,DT-Tb.N,DT-Tb.Th,DT-Tb.Sp,DT-Tb.(1/N).SD,DT-Tb.Th.SD,DT-Tb.Sp.SD,Mean1,Mean2,Mean3,Mean4,Mean5,Mean-Units,TRI-TV,TRI-BV,TRI-BV/TV,TRI-BS,TRI-BS/BV,TRI-Tb.N,TRI-Tb.Th,TRI-Tb.Sp,TRI-DA,TRI-|H1|,TRI-|H2|,TRI-|H3|,TRI-H1x,TRI-H1y,TRI-H1z,TRI-H2x,TRI-H2y,TRI-H2z,TRI-H3x,TRI-H3y,TRI-H3z,El-Siz-X,El-Siz-Y,El-Siz-Z,Dim-X,Dim-Y,Dim-Z,Pos-X,Pos-Y,Pos-Z,MeasNumSlices,OperatorMeas,OperatorEval,CTDI[mGy],RAW-Dir,RAW-Label,IMA-Dir,IMA-Label,ScannerID
pilot 1373_femurspine,10786,31735,9/3/2024 13:33,9/17/2024 17:30,V0031566,,,,Custom,E2_Imax,300,B31735,Spine ex-vivo,0.8,1,220,6,7208,2.3399,0.386,0.165,98.7232,1.0276,3.4126,0.0519,0.2983,0.1351,0.0192,0.1398,114.282,~  763.723,-,-,-,[mg HA/ccm],2.2992,0.3791,0.1649,17.1263,45.1737,3.7244,0.0443,0.2242,1.5985,0.2293,0.3666,0.2526,0.1801,0.1419,0.0013,-0.0577,0.07,0.3552,-0.1512,0.1925,-0.0625,0.0105,0.0105,0.0105,188,172,199,796,863,14,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010786.00031735],,DK0:[MICROCT.DATA.00010786.00031735],,5071
pilot 1367_femurspine,10780,31716,8/29/2024 13:22,9/17/2024 17:31,V0031547,,,,Custom,E2_Imax,300,B31716,Spine ex-vivo,0.8,1,220,6,7208,1.8832,0.0044,0.0023,-0.531,4.1722,1.7888,0.0337,0.5579,0.138,0.0153,0.1381,-11.2798,~  733.556,-,-,-,[mg HA/ccm],1.856,0.0034,0.0019,0.358,103.8563,0.0964,0.0193,10.3491,1.3189,9.2468,12.1961,10.2157,-2.5068,-8.4308,-2.8535,10.621,-4.499,3.962,-4.1888,-1.8456,9.1328,0.0105,0.0105,0.0105,284,200,99,821,851,81,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010780.00031716],,DK0:[MICROCT.DATA.00010780.00031716],,5071
pilot 1368_femurspine,10781,31719,9/3/2024 7:12,9/17/2024 17:33,V0031550,,,,Custom,E2_Imax,300,B31719,Spine ex-vivo,0.8,1,220,6,7208,1.6694,0.0128,0.0077,0.8985,4.0806,2.095,0.04,0.4821,0.1468,0.0182,0.1477,7.6404,~  762.665,-,-,-,[mg HA/ccm],1.6442,0.0109,0.0067,0.9109,83.2573,0.277,0.024,3.5861,1.358,3.0568,4.1511,3.8727,2.971,-0.7111,-0.1067,-0.7279,-3.3848,2.2902,0.6073,2.053,3.2271,0.0105,0.0105,0.0105,220,240,99,818,961,81,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010781.00031719],,DK0:[MICROCT.DATA.00010781.00031719],,5071
pilot 1369_femurspine,10782,31722,9/3/2024 8:33,9/17/2024 17:34,V0031553,,,,Custom,E2_Imax,300,B31722,Spine ex-vivo,0.8,1,220,6,7208,2.1495,0.2693,0.1253,37.6826,2.4409,3.3321,0.0658,0.2862,0.0857,0.0221,0.0822,116.5974,801.101,-,-,-,[mg HA/ccm],2.1209,0.2623,0.1237,10.4264,39.7507,2.458,0.0503,0.3565,1.4751,0.3499,0.5161,0.3973,0.3353,0.0634,0.0773,-0.0739,-0.1881,0.4749,-0.0983,0.3629,0.1285,0.0105,0.0105,0.0105,316,204,99,744,911,61,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010782.00031722],,DK0:[MICROCT.DATA.00010782.00031722],,5071
pilot 1370_femurspine,10783,31725,9/3/2024 9:48,9/23/2024 12:57,V0031556,,,,Custom,E2_Imax,300,B31725,Spine ex-vivo,0.8,1,220,6,7208,2.0682,0.1322,0.0639,23.9335,3.0104,2.5933,0.0604,0.3729,0.1034,0.0217,0.1014,53.3534,~  761.209,-,-,-,[mg HA/ccm],2.0399,0.1261,0.0618,6.1119,48.4821,1.4981,0.0413,0.6263,1.2006,0.6011,0.7217,0.6971,0.471,-0.3536,-0.12,0.4418,0.4881,0.2957,0.0737,0.3088,-0.6206,0.0105,0.0105,0.0105,228,284,99,943,918,71,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010783.00031725],,DK0:[MICROCT.DATA.00010783.00031725],,5071
pilot 1371_femurspine,10784,31728,9/3/2024 10:53,9/23/2024 12:58,V0031559,,,,Custom,E2_Imax,300,B31728,Spine ex-vivo,0.8,1,220,6,7208,1.3996,0.0227,0.0162,5.0014,3.4308,1.8633,0.0386,0.5275,0.1541,0.0126,0.1537,14.1236,~  731.439,-,-,-,[mg HA/ccm],1.3763,0.0199,0.0144,1.5652,78.7914,0.5686,0.0254,1.7333,1.2238,1.6159,1.9776,1.7318,0.9554,1.0957,0.7055,-0.8044,-0.4287,1.755,-1.206,1.2163,-0.2556,0.0105,0.0105,0.0105,204,260,99,756,931,81,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010784.00031728],,DK0:[MICROCT.DATA.00010784.00031728],,5071
pilot 1372_femurspine,10785,31731,9/3/2024 11:59,9/23/2024 13:03,V0031562,,,,Custom,E2_Imax,300,B31731,Spine ex-vivo,0.8,1,220,6,7208,1.5076,0.0201,0.0133,0,4.4028,1.5515,0.0741,0.6656,0.2311,0.0235,0.2233,10.2205,826.5044,-,-,-,[mg HA/ccm],1.4826,0.019,0.0128,0.8685,45.6442,0.2929,0.0438,3.3703,1.7096,2.7161,4.6433,3.5331,-1.6335,-1.2524,1.7722,1.7527,-4.1035,-1.2845,-2.4879,-0.2824,-2.4927,0.0105,0.0105,0.0105,288,200,99,745,920,81,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010785.00031731],,DK0:[MICROCT.DATA.00010785.00031731],,5071
pilot 1373_femurspine,10786,31734,9/3/2024 13:15,9/23/2024 13:07,V0031565,,,,Custom,E2_Imax,300,B31734,Spine ex-vivo,0.8,1,220,6,7208,1.211,0.0275,0.0227,8.258,3.3563,2.6863,0.0359,0.3728,0.0806,0.0121,0.0778,20.6068,~  744.803,-,-,-,[mg HA/ccm],1.1896,0.0234,0.0197,1.9429,82.9874,0.8166,0.0241,1.2004,1.1614,1.1303,1.3127,1.2497,-0.8564,-0.6972,-0.2409,0.0615,-0.4952,1.2142,-0.8134,0.8635,0.3929,0.0105,0.0105,0.0105,252,216,79,774,1018,61,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010786.00031734],,DK0:[MICROCT.DATA.00010786.00031734],,5071
pilot 1420_femur spine,10791,31887,9/26/2024 8:06,10/2/2024 10:07,V0031718,,,,Custom,E2_Imax,300,B31887,Spine ex-vivo,0.8,1,220,6,7208,2.6455,0.4315,0.1631,66.1505,1.0443,2.9548,0.0566,0.3364,0.1479,0.0181,0.1498,111.9665,~  746.655,-,-,-,[mg HA/ccm],2.5999,0.4235,0.1629,17.2851,40.8182,3.3242,0.049,0.2518,1.6308,0.2537,0.4137,0.2863,0.072,0.2429,0.0138,0.094,-0.0049,-0.4028,-0.2667,0.0827,-0.0633,0.0105,0.0105,0.0105,184,212,199,682,987,2,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010791.00031887],,DK0:[MICROCT.DATA.00010791.00031887],,5071
pilot 1421_Femur Spine,10792,31890,9/26/2024 9:57,10/2/2024 10:21,V0031721,,,,Custom,E2_Imax,300,B31890,Spine ex-vivo,0.8,1,220,6,7208,2.2869,0.4677,0.2045,102.7601,0.722,3.167,0.0606,0.3242,0.1559,0.0212,0.1501,159.0688,~  740.635,-,-,-,[mg HA/ccm],2.2434,0.4593,0.2048,17.3261,37.7188,3.8615,0.053,0.2059,1.6163,0.2215,0.3581,0.2415,0.1726,-0.1388,-0.0051,0.027,0.0204,0.3565,0.1503,0.1878,-0.0221,0.0105,0.0105,0.0105,228,236,199,711,1024,14,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010792.00031890],,DK0:[MICROCT.DATA.00010792.00031890],,5071
pilot 1422_Femur Spine,10793,31893,9/26/2024 11:34,10/2/2024 10:26,V0031724,,,,Custom,E2_Imax,300,B31893,Spine ex-vivo,0.8,1,220,6,7208,2.578,0.5448,0.2113,82.0388,1.0724,3.434,0.063,0.2863,0.1488,0.0213,0.1533,151.7917,766.4359,-,-,-,[mg HA/ccm],2.5336,0.5364,0.2117,20.0602,37.3987,3.9589,0.0535,0.1991,1.6303,0.2177,0.3549,0.2318,0.1738,-0.131,0.0055,-0.028,-0.0224,0.3531,0.1385,0.1846,0.0227,0.0105,0.0105,0.0105,208,184,199,810,1068,14,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010793.00031893],,DK0:[MICROCT.DATA.00010793.00031893],,5071
pilot 1420_femur spine,10791,31886,9/26/2024 7:48,10/2/2024 10:44,V0031717,,,,Custom,E2_Imax,300,B31886,Spine ex-vivo,0.8,1,220,6,7208,2.0771,0.1367,0.0658,12.2766,3.3896,2.6769,0.0719,0.3533,0.084,0.0223,0.0768,64.732,768.7512,-,-,-,[mg HA/ccm],2.0481,0.1317,0.0643,5.5184,41.9153,1.3472,0.0477,0.6946,1.0662,0.7268,0.7749,0.7288,0.2559,0.0078,-0.6802,0.7228,-0.0789,0.2682,0.0689,0.725,0.0278,0.0105,0.0105,0.0105,228,324,99,770,777,81,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010791.00031886],,DK0:[MICROCT.DATA.00010791.00031886],,5071
pilot 1421_Femur Spine,10792,31889,9/26/2024 9:39,10/2/2024 10:49,V0031720,,,,Custom,E2_Imax,300,B31889,Spine ex-vivo,0.8,1,220,6,7208,1.9416,0.2855,0.147,40.4306,1.7908,3.2276,0.07,0.302,0.0941,0.0228,0.0873,129.9606,779.0052,-,-,-,[mg HA/ccm],1.9132,0.2806,0.1466,10.2302,36.4623,2.6736,0.0549,0.3192,1.3038,0.3377,0.4402,0.3629,-0.1313,0.3024,0.0731,0.0628,-0.0764,0.429,-0.3303,-0.1487,0.0218,0.0105,0.0105,0.0105,228,312,99,933,880,101,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010792.00031889],,DK0:[MICROCT.DATA.00010792.00031889],,5071
pilot 1422_Femur Spine,10793,31892,9/26/2024 11:16,10/2/2024 10:53,V0031723,,,,Custom,E2_Imax,300,B31892,Spine ex-vivo,0.8,1,220,6,7208,1.9458,0.1684,0.0865,19.2724,2.9501,2.8148,0.0718,0.3511,0.0902,0.0271,0.0899,83.5861,779.7329,-,-,-,[mg HA/ccm],1.9177,0.1632,0.0851,6.5223,39.9577,1.7005,0.0501,0.538,1.3263,0.5081,0.6739,0.6151,0.4819,-0.1451,-0.0701,0.1376,0.1458,0.6434,0.1494,0.5743,-0.162,0.0105,0.0105,0.0105,292,200,99,705,1066,101,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010793.00031892],,DK0:[MICROCT.DATA.00010793.00031892],,5071
